cntry,c2weight,gndr,eisced,netusoft,mnactic,hincfel,w4q50
AT,2.3594236,1,3,5,6,1,3
AT,0.64719534,2,6,5,1,2,2
AT,0.43431893,1,5,5,1,1,3
AT,3.221599,1,3,4,1,1,3
AT,3.5392592,2,2,5,6,1,3
AT,0.4109379,2,6,5,8,2,2
AT,0.15726998,2,7,5,1,2,2
AT,1.3033638,2,4,5,2,3,2
AT,0.3790756,1,7,5,6,1,3
AT,0.36314145,1,5,4,1,1,3
AT,1.7129452,1,3,5,6,2,2
AT,0.9650992,2,4,5,1,2,4
AT,0.6949101,2,5,5,1,1,2
AT,0.50983644,1,3,2,6,2,4
AT,0.8262225,1,NA,5,1,2,2
AT,0.72975636,2,3,5,8,2,3
AT,1.7498367,1,7,5,1,1,2
AT,0.31095678,2,5,5,1,1,3
AT,0.71037346,2,3,5,2,1,2
AT,1.0807527,1,3,3,6,2,3
AT,1.0810356,1,3,4,1,2,3
AT,0.32729596,2,7,5,1,1,3
AT,1.7206339,1,3,5,NA,3,3
AT,0.44499606,2,3,5,1,3,2
AT,0.9117254,2,5,5,1,2,2
AT,2.3210714,1,4,5,2,1,2
AT,0.80393106,1,4,5,1,1,3
AT,3.3445206,1,7,5,1,2,1
AT,1.243293,1,7,5,1,2,2
AT,0.21322554,2,5,5,1,1,3
AT,0.7799433,2,6,5,1,1,2
AT,0.84088844,1,3,5,1,1,3
AT,0.28743848,2,5,5,1,1,2
AT,0.394645,1,7,5,1,1,4
AT,0.49037343,2,3,3,6,3,3
AT,0.67640376,2,4,5,1,1,2
AT,0.30262727,2,5,5,1,1,4
AT,0.3228321,2,5,1,6,2,2
AT,0.9638492,1,3,5,1,2,3
AT,0.6341213,1,4,5,2,2,2
AT,0.35418728,1,3,5,1,1,3
AT,0.5316237,2,5,5,1,1,3
AT,0.2923319,2,6,5,1,1,2
AT,2.4967275,2,3,5,9,2,2
AT,2.4424365,2,3,5,1,1,3
AT,0.70026284,1,7,5,6,2,3
AT,2.4837956,1,7,5,6,1,3
AT,1.9984834,2,2,3,6,1,4
AT,0.38852662,1,3,3,6,1,3
AT,1.7255194,1,6,5,1,3,2
AT,0.4014929,2,4,5,2,2,2
AT,2.0159955,2,3,5,8,2,4
AT,2.2968657,1,5,5,1,1,3
AT,1.2646235,2,4,4,1,2,2
AT,0.3005798,2,4,5,6,1,3
AT,0.44554222,1,3,4,1,2,4
AT,0.19776925,1,7,4,6,1,3
AT,2.0602229,1,5,5,2,1,3
AT,1.5417075,1,7,5,1,2,2
AT,0.963135,1,7,5,1,1,3
AT,0.39839965,1,5,3,6,1,3
AT,0.5734763,2,7,4,8,2,3
AT,0.65257585,2,5,5,8,2,3
AT,1.6481332,2,3,5,1,3,1
AT,0.38457876,1,5,5,1,1,2
AT,0.42247277,2,7,4,6,1,4
AT,0.9977863,1,5,5,6,2,2
AT,2.9372416,1,3,2,4,2,3
AT,0.22121489,1,5,3,1,2,2
AT,0.99123216,1,3,2,1,3,1
AT,1.3688952,1,7,5,1,2,3
AT,0.74209195,1,5,5,1,2,3
AT,0.4420875,1,5,5,1,2,3
AT,0.32799882,1,5,5,1,1,3
AT,1.0780146,2,5,4,1,1,3
AT,0.61601937,2,5,5,1,1,2
AT,0.14523241,2,5,5,2,2,2
AT,0.78058356,2,4,5,1,3,4
AT,0.3724081,1,5,5,9,2,3
AT,0.6595825,2,7,5,1,2,2
AT,0.97339976,2,6,5,1,1,3
AT,0.6839772,1,5,2,6,2,2
AT,1.7209746,1,5,5,6,2,4
AT,1.0312166,1,3,5,6,1,4
AT,0.24188046,2,7,5,2,2,4
AT,0.32584533,2,7,5,6,1,3
AT,1.1565279,1,7,5,1,1,2
AT,0.78707856,2,7,5,1,1,4
AT,0.91455054,2,7,5,1,1,4
AT,0.41453734,1,5,5,1,1,3
AT,0.37239876,1,5,5,1,2,3
AT,0.6400703,1,5,5,1,2,3
AT,0.740345,1,5,4,1,1,3
AT,2.4625297,1,7,5,1,1,3
AT,2.4905221,1,3,5,6,2,3
AT,0.5541461,1,7,5,8,1,3
AT,0.28417277,2,7,5,1,1,3
AT,2.4306493,2,4,5,2,2,3
AT,1.1027106,1,6,5,1,2,3
AT,0.41307327,1,5,5,1,1,3
AT,0.7191954,1,5,5,1,2,2
AT,4.2214303,2,2,5,6,1,3
AT,1.3681237,1,5,4,6,2,2
AT,0.5317112,2,4,5,6,4,2
AT,0.44848266,2,7,5,8,1,3
AT,0.9105122,2,7,5,1,1,3
AT,0.95627135,NA,5,3,9,1,3
AT,0.9564475,1,4,5,1,1,4
AT,0.78943294,2,6,5,1,2,3
AT,0.8056697,1,3,4,6,1,2
AT,0.6593187,2,6,5,2,3,1
AT,0.36518878,2,3,5,1,1,2
AT,1.0118964,2,6,5,1,1,2
AT,0.24998978,2,5,5,1,2,2
AT,0.44354826,1,3,5,1,3,2
AT,0.49414003,2,4,5,6,1,2
AT,0.5933751,2,3,5,1,2,3
AT,1.3124384,1,5,5,1,2,3
AT,0.91357803,1,5,5,1,2,3
AT,3.4856386,2,1,5,6,3,3
AT,0.490691,2,4,5,6,2,3
AT,1.774596,2,7,5,8,2,3
AT,0.50752723,2,7,5,1,1,2
AT,3.2129366,1,5,5,2,3,2
AT,1.1059799,2,6,5,1,1,3
AT,0.8201279,1,3,5,1,1,4
AT,1.2339181,1,3,5,8,4,2
AT,0.55083656,2,3,5,6,1,3
AT,0.59115314,1,6,5,1,1,3
AT,0.27413598,1,7,5,6,1,4
AT,0.17656331,2,3,5,8,3,4
AT,2.6843204,2,3,5,6,1,3
AT,1.0808984,2,6,5,1,2,2
AT,1.0564822,1,5,5,1,2,2
AT,0.27020016,1,3,3,6,2,3
AT,2.45915,2,5,5,1,1,3
AT,1.0168676,1,7,5,6,1,2
AT,0.2821689,1,7,5,1,1,4
AT,0.47458196,2,3,5,8,1,3
AT,0.54953736,2,5,5,1,1,2
AT,0.52772725,1,3,4,1,2,2
AT,1.3606325,2,7,5,8,1,2
AT,0.9290025,1,6,5,2,1,3
AT,0.34933296,1,3,5,1,2,3
AT,0.34159192,2,5,5,1,1,2
AT,0.92006713,1,3,5,1,1,2
AT,1.9247156,2,3,4,6,2,3
AT,0.5576151,1,7,5,1,2,3
AT,0.9548903,1,5,5,1,2,4
AT,0.7361366,2,7,5,1,2,2
AT,1.2212859,1,3,4,1,2,3
AT,0.7178705,2,3,4,1,1,2
AT,0.65369344,1,5,5,1,3,2
AT,4.0375686,1,5,5,2,4,4
AT,0.62771386,2,5,4,8,1,2
AT,0.47178805,1,3,5,3,2,2
AT,2.2045362,1,3,4,6,2,3
AT,0.55136114,1,7,5,1,1,4
AT,0.39629483,1,5,5,1,1,3
AT,0.87484425,1,3,5,1,1,3
AT,0.77256787,1,3,5,1,2,3
AT,0.9971587,2,7,5,1,1,2
AT,1.3028791,2,3,4,8,1,2
AT,1.1239903,1,5,5,2,1,2
AT,0.76965076,1,5,4,6,2,4
AT,4.4115024,1,2,5,2,1,2
AT,0.6765832,2,3,5,1,2,3
AT,0.50134957,1,3,5,1,2,3
AT,0.19682765,1,5,5,6,2,3
AT,0.77496064,1,4,5,1,1,3
AT,1.284589,1,3,5,1,1,4
AT,0.96347976,2,4,5,2,2,3
AT,1.0554506,1,5,5,1,1,3
AT,0.15949668,2,7,5,1,1,3
AT,0.24887079,2,3,5,6,2,3
AT,0.2935233,2,7,5,1,1,2
AT,1.5139494,1,5,4,1,1,3
